item,itemLabel,linkcount
http://www.wikidata.org/entity/Q5608166,Grey Glacier,9
http://www.wikidata.org/entity/Q5645837,Hammond Glacier,9
http://www.wikidata.org/entity/Q5681505,Hatherton Glacier,9
http://www.wikidata.org/entity/Q6279035,Jorum Glacier,9
http://www.wikidata.org/entity/Q6314613,Jupiter Glacier,9
http://www.wikidata.org/entity/Q6374895,Kasumi Glacier,9
http://www.wikidata.org/entity/Q6395349,Ketchum Glacier,9
http://www.wikidata.org/entity/Q6415810,Kirkpatrick Glacier,9
http://www.wikidata.org/entity/Q13636672,Hoseason Glacier,9
http://www.wikidata.org/entity/Q15211938,Crane Glacier,9
http://www.wikidata.org/entity/Q15220590,Huron Glacier,9
http://www.wikidata.org/entity/Q15264629,Otago Glacier,9
http://www.wikidata.org/entity/Q24842587,Hiawatha Glacier,9
http://www.wikidata.org/entity/Q2026401,Lazarev Ice Shelf,9
http://www.wikidata.org/entity/Q3446002,Quar Ice Shelf,9
http://www.wikidata.org/entity/Q4664202,Abbot Ice Shelf,9
http://www.wikidata.org/entity/Q5299486,Dotson Ice Shelf,9
http://www.wikidata.org/entity/Q8034395,Wordie Ice Shelf,9
http://www.wikidata.org/entity/Q5474347,Foundation Ice Stream,9
http://www.wikidata.org/entity/Q3108357,Astrolabe Glacier,8
http://www.wikidata.org/entity/Q3108372,Batura Glacier,8
http://www.wikidata.org/entity/Q3446029,Borchgrevinkisen,8
http://www.wikidata.org/entity/Q3651223,Bezengi Glacier,8
http://www.wikidata.org/entity/Q3761656,Blue Glacier,8
http://www.wikidata.org/entity/Q3761657,Debenham Glacier,8
http://www.wikidata.org/entity/Q23906,Merrick Glacier,8
http://www.wikidata.org/entity/Q278186,Sandhøhallet Glacier,8
http://www.wikidata.org/entity/Q366896,Sal Glacier,8
http://www.wikidata.org/entity/Q568668,Suess Glacier,8
http://www.wikidata.org/entity/Q598762,Spegazzini Glacier,8
http://www.wikidata.org/entity/Q634287,Grinnell Glacier,8
http://www.wikidata.org/entity/Q664777,Rosenlaui Glacier,8
http://www.wikidata.org/entity/Q667539,Damma Glacier,8
http://www.wikidata.org/entity/Q668706,Rettenbach glacier,8
http://www.wikidata.org/entity/Q672259,Mont Durand Glacier,8
http://www.wikidata.org/entity/Q672939,Arolla Glacier,8
http://www.wikidata.org/entity/Q678528,Turtmann Glacier,8
http://www.wikidata.org/entity/Q681325,Skaftafellsjökull,8
http://www.wikidata.org/entity/Q747978,Gondogoro Glacier,8
http://www.wikidata.org/entity/Q774759,Portage Glacier,8
http://www.wikidata.org/entity/Q804996,Balish Glacier,8
http://www.wikidata.org/entity/Q868500,Monacobreen,8
http://www.wikidata.org/entity/Q995887,Brúarjökull,8
http://www.wikidata.org/entity/Q997354,Buarbreen,8
http://www.wikidata.org/entity/Q1142234,Mount Karpinsky,8
http://www.wikidata.org/entity/Q1152073,Glacier de Bionnassay,8
http://www.wikidata.org/entity/Q1233152,Dobbratz Glacier,8
http://www.wikidata.org/entity/Q2321467,Glacier du Tour,8
http://www.wikidata.org/entity/Q2803023,Bøyabreen,8
http://www.wikidata.org/entity/Q3056509,Kennicott Glacier,8
http://www.wikidata.org/entity/Q3108270,Bertrab Glacier,8
http://www.wikidata.org/entity/Q3108274,Branscomb Glacier,8
http://www.wikidata.org/entity/Q3108276,Brunonia Glacier,8
http://www.wikidata.org/entity/Q3108303,Neumayer Glacier,8
http://www.wikidata.org/entity/Q3108307,Reeves Glacier,8
http://www.wikidata.org/entity/Q1535568,Taku Glacier,8
http://www.wikidata.org/entity/Q1540484,Gowan Glacier,8
http://www.wikidata.org/entity/Q1646984,Peyto Glacier,8
http://www.wikidata.org/entity/Q1723747,Kangshung Glacier,8
http://www.wikidata.org/entity/Q1734996,Kaskawulsh Glacier,8
http://www.wikidata.org/entity/Q1800854,Kronebreen,8
http://www.wikidata.org/entity/Q1809936,Hoffellsjökull,8
http://www.wikidata.org/entity/Q1985600,Utopia Glacier,8
http://www.wikidata.org/entity/Q3761722,Wilson Piedmont Glacier,8
http://www.wikidata.org/entity/Q4257133,Russian Geographical Society Glacier,8
http://www.wikidata.org/entity/Q4695075,Ahern Glacier,8
http://www.wikidata.org/entity/Q4700554,Akebono Glacier,8
http://www.wikidata.org/entity/Q4709541,Alberich Glacier,8
http://www.wikidata.org/entity/Q4712618,Albone Glacier,8
http://www.wikidata.org/entity/Q4735925,Alt Glacier,8
http://www.wikidata.org/entity/Q6672550,Long Glacier,8
http://www.wikidata.org/entity/Q6693987,Lowery Glacier,8
http://www.wikidata.org/entity/Q6698725,Ludeman Glacier,8
http://www.wikidata.org/entity/Q6704120,Lunde Glacier,8
